annee;adresse;consommation_annuelle_totale
2018;42 RUE DES ROTISSEURS;380.995
2019;42 RUE DES ROTISSEURS;388.95000000000005
2020;42 RUE DES ROTISSEURS;329.69
2021;42 RUE DES ROTISSEURS;389.91999999999996
2022;42 RUE DES ROTISSEURS;328.21500000000003
