annee_universitaire,libelle_diplome_1,libelle_diplome_2,total_inscrits
2012-13,"DROIT, ECONOMIE, GESTION : DROIT","",82271
2012-13,NON DETAILLE,"",55965
2012-13,DE DOCTEUR EN MEDECINE,"",55870
2012-13,PREMIERE ANNEE COMMUNE AUX ETUDES DE SANTE (PACES),"",55700
2012-13,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,"",48151
2012-13,"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES APPLIQUEES","",36165
2012-13,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,"",23830
2012-13,"DROIT, ECONOMIE, GESTION : ADMINISTRATION ECONOMIQUE ET SOCIALE","",22029
2012-13,DE DOCTEUR EN PHARMACIE,"",21149
2012-13,TECHNIQUES DE COMMERCIALISATION,"",19924
2012-13,DIPLOMES D'UNIVERSITE EN MEDECINE - BAC+6 ET PLUS,"",15936
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",ANGLAIS,15245
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE","",13349
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE, GESTION","",13035
2012-13,INFORMATIQUE,"",11375
2012-13,MEDECINE GENERALE,"",11145
2012-13,GESTION DES ENTREPRISES ET DES ADMINISTRATIONS,"",10801
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE","",10591
2012-13,"SCIENCES, TECHNOLOGIES, SANTE (ANNEE COMMUNE) :","",10169
2012-13,SCIENCES HUMAINES ET SOCIALES : SOCIOLOGIE,"",9805
2012-13,DIPLOME D'ACCES AUX ETUDES UNIVERSITAIRES - A (DAEU - A),"",9621
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE ET GESTION","",8932
2012-13,DIPLOME DE L'INSTITUT D'ETUDES POLITIQUES,"",8389
2012-13,SCIENCES ET TECHNOLOGIES (ANNEE COMMUNE) :,"",7915
2012-13,GENIE ELECTRIQUE ET INFORMATIQUE INDUSTRIELLE,"",7783
2012-13,DE DOCTEUR EN CHIRURGIE DENTAIRE,"",7480
2012-13,"ARTS, LETTRES, LANGUES : LETTRES","",7083
2012-13,SCIENCES HUMAINES ET SOCIALES : HISTOIRE DE L'ART ET ARCHEOLOGIE,"",6997
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : MATHEMATIQUES","",6910
2012-13,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES (ANNEE COMMUNE),"",6856
2012-13,GENIE MECANIQUE ET PRODUCTIQUE,"",6849
2012-13,SCIENCES JURIDIQUES,"",6767
2012-13,"DROIT, SCIENCES POLITIQUE ET SOCIALES : DROIT","",6716
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE","",6440
2012-13,"ARTS, LETTRES, LANGUES : LETTRES",LETTRES MODERNES,6423
2012-13,"DROIT, ECONOMIE, GESTION : DROIT ET SCIENCE POLITIQUE","",6257
2012-13,"DROIT, ECONOMIE, GESTION (ANNEE COMMUNE) :","",6068
2012-13,CHIMIE,"",5925
2012-13,GENIE CIVIL,"",5800
2012-13,DIPLOMES D'UNIVERSITE EN MEDECINE - BAC+4 A BAC+5,"",5445
2012-13,MASTERS SCIENCES PO,"",5395
2012-13,"ARTS, LETTRES, LANGUES : LETTRES MODERNES","",5295
2012-13,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"",5271
2012-13,DROIT : DROIT,"",5267
2012-13,SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION,"",5127
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","",4853
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES (ANNEE COMMUNE)","",4719
2012-13,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE ET AMENAGEMENT,"",4679
2012-13,HISTOIRE,"",4526
2012-13,MESURES PHYSIQUES,"",4446
2012-13,SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE,"",4413
2012-13,INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE D'ARTS ET METIERS,"",4244
2012-13,SCIENCES DE LA VIE ET DE LA SANTE,"",4226
2012-13,DIPLOME DU COLLEGE UNIVERSITAIRE DE SCIENCES PO,"",4186
2012-13,"ARTS, LETTRES, LANGUES : ARTS","",4184
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES POUR L'INGENIEUR","",4168
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DU VIVANT","",4113
2012-13,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES (ANNEE COMMUNE) :,"",4110
2012-13,GESTION DES ENTREPRISES ET DES ADMINISTRATIONS,PETITES ET MOYENNES ORGANISATIONS,4082
2012-13,PHYSIQUE,"",4056
2012-13,"ARTS, LETTRES, LANGUES : ARTS DU SPECTACLE","",4023
2012-13,"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION","",4003
2012-13,GESTION DES ENTREPRISES ET DES ADMINISTRATIONS,FINANCES COMPTABILITE,3961
2012-13,DIPLOME D'ETAT DE SAGE-FEMME,"",3878
2012-13,SCIENCES HUMAINES ET SOCIALES : SCIENCES DE L'EDUCATION,"",3823
2012-13,"DROIT, ECONOMIE, GESTION : GESTION","",3792
2012-13,"ARTS, LETTRES, LANGUES : ARTS PLASTIQUES","",3750
2012-13,CAPACITE EN DROIT,"",3679
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES",ANGLAIS,3643
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",ESPAGNOL,3597
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : PHYSIQUE","",3540
2012-13,FORMATION INGENIEUR HORS SPECIALITE - ANNEE COMMUNE (ECOLES EN 5 ANS),"",3519
2012-13,DIPLOMES D'UNIVERSITE EN MEDECINE - BAC+5 A BAC+6 ET PLUS,"",3465
2012-13,SERVICES ET RESEAUX DE COMMUNICATION,"",3433
2012-13,"DROIT, ECONOMIE, GESTION : SCIENCES DE GESTION","",3376
2012-13,"DROIT, ECONOMIE, GESTION : DROIT PRIVE","",3358
2012-13,ECONOMIE ET GESTION : ECONOMIE,"",3313
2012-13,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES (ANNEE COMMUNE),"",3251
2012-13,CERTIFICAT DE CAPACITE D'ORTHOPHONISTE,"",3073
2012-13,"ARTS, LETTRES, LANGUES : SCIENCES DU LANGAGE","",2915
2012-13,ASPECTS MOLECULAIRES ET CELLULAIRES DE LA BIOLOGIE,"",2793
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : PHYSIQUE - CHIMIE","",2777
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE GESTION","",2775
2012-13,RESEAUX ET TELECOMMUNICATIONS,"",2713
2012-13,GESTION LOGISTIQUE ET TRANSPORT,"",2668
2012-13,"DROIT, ECONOMIE, GESTION : ADMINISTRATION ET ECHANGES INTERNATIONAUX","",2641
2012-13,LANGUES ET LITTERATURES ETRANGERES,"",2586
2012-13,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES (ANNEE COMMUNE) : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,"",2458
2012-13,CARRIERES JURIDIQUES,"",2383
2012-13,INGENIEUR DIPLOME DE L'ECOLE CENTRALE DES ARTS ET MANUFACTURES,"",2371
2012-13,"DROIT, ECONOMIE, GESTION : SCIENCES ECONOMIQUES ET DE GESTION","",2352
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE-GESTION (ANNEE COMMUNE)","",2251
2012-13,DIPLOME D'ACCES AUX ETUDES UNIVERSITAIRES - B (DAEU - B),"",2160
2012-13,"DROIT, ECONOMIE, GESTION : DROIT DES AFFAIRES","",2143
2012-13,"DIPLOMES D'UNIVERSITE EN FRANCAIS, LANGUE ETRANGERE - BAC A BAC+1","",2138
2012-13,DIPLOMES D'UNIVERSITE EN INFORMATIQUE - BAC A BAC+1,"",2135
2012-13,SCIENCES HUMAINES ET SOCIALES : SCIENCES DU LANGAGE,"",2129
2012-13,DIPLOMES D'UNIVERSITE EN MEDECINE - BAC+3,"",2103
2012-13,GENIE THERMIQUE ET ENERGIE,"",2100
2012-13,"DROIT, ECONOMIE, GESTION : MANAGEMENT","",2096
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT","",2092
2012-13,SCIENCES DE L'UNIVERS,"",2076
2012-13,"ARTS, LETTRES, LANGUES : MUSIQUE","",2073
2012-13,"DROIT, ECONOMIE, GESTION : ADMINISTRATION PUBLIQUE","",2041
2012-13,GESTION ADMINISTRATIVE ET COMMERCIALE,"",2025
2012-13,SCIENCES DE GESTION,"",2020
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA VIE ET DE LA TERRE (ANNEE COMMUNE)","",1964
2012-13,"SOCIOLOGIE, DEMOGRAPHIE","",1954
2012-13,SCIENCES ECONOMIQUES,"",1937
2012-13,"ELECTRONIQUE, MICROELECTRONIQUE, OPTIQUE ET LASERS, OPTOELECTRONIQUE MICROONDES ROBOTIQUE","",1925
2012-13,GENIE INDUSTRIEL ET MAINTENANCE,"",1875
2012-13,"HYGIENE, SECURITE, ENVIRONNEMENT","",1874
2012-13,"ARTS, LETTRES, LANGUES : PHILOSOPHIE","",1870
2012-13,SCIENCES HUMAINES ET SOCIALES : SCIENCES SOCIALES,"",1854
2012-13,"ARTS, ARTS PLASTIQUES, MUSICOLOGIE","",1831
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE, ENVIRONNEMENT","",1828
2012-13,SCIENCES HUMAINES ET SOCIALES : ADMINISTRATION ECONOMIQUE ET SOCIALE,"",1826
2012-13,GENIE BIOLOGIQUE,"",1812
2012-13,MATHEMATIQUES,"",1812
2012-13,PSYCHOLOGIE,"",1800
2012-13,CHIRURGIE GENERALE,"",1788
2012-13,PSYCHIATRIE,"",1783
2012-13,CARRIERES SOCIALES,ANIMATION SOCIALE ET SOCIOCULTURELLE,1766
2012-13,"DROIT, ECONOMIE, GESTION : DROIT PRIVE ET SCIENCES CRIMINELLES","",1755
2012-13,ANESTHESIE - REANIMATION,"",1715
2012-13,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC","",1713
2012-13,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE : DROIT","",1692
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : MATHEMATIQUES APPLIQUEES ET SCIENCES SOCIALES","",1661
2012-13,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,"",1660
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : MATHEMATIQUES ET INFORMATIQUE","",1642
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES JURIDIQUES - BAC+4 A BAC+5,"",1617
2012-13,SCIENCES DU LANGAGE - LINGUISTIQUE,"",1614
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES",ESPAGNOL,1611
2012-13,INGENIEUR DIPLOME DE L'ECOLE SUPERIEURE D'ELECTRICITE,"",1591
2012-13,"DROIT, ECONOMIE, GESTION : SCIENCES DU MANAGEMENT","",1586
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : PHYSIQUE, CHIMIE","",1566
2012-13,SCIENCES HUMAINES ET SOCIALES : SCIENCES HUMAINES ET SOCIALES (ANNEE COMMUNE),"",1565
2012-13,SCIENCES ET TECHNOLOGIES : BIOLOGIE,"",1548
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES",EDUCATION  ET MOTRICITE,1536
2012-13,SCIENCES HUMAINES ET SOCIALES : SCIENCE POLITIQUE,"",1528
2012-13,LANGUES ET LITTERATURES FRANCAISES,"",1527
2012-13,DIPLOME UNIVERSITAIRE GESTION ECONOMIE APPLIQUEE DE DAUPHINE,"",1503
2012-13,GESTION DES ENTREPRISES ET DES ADMINISTRATIONS,RESSOURCES HUMAINES,1501
2012-13,"MECANIQUE DES FLUIDES, ENERGETIQUE, THERMIQUE, COMBUSTION, ACOUSTIQUE","",1497
2012-13,"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES APPLIQUEES:LANGUES ET MANAGEMENT INTERNATIONAL","",1496
2012-13,"DROIT, ECONOMIE, GESTION : INGENIERIE DES SERVICES","",1482
2012-13,GENIE BIOLOGIQUE,ANALYSES BIOLOGIQUES ET BIOCHIMIQUES,1472
2012-13,GENIE BIOLOGIQUE,INDUSTRIES ALIMENTAIRES ET BIOLOGIQUES,1464
2012-13,GERONTOLOGIE,"",1459
2012-13,ECONOMIE ET GESTION : ECONOMIE ET GESTION (ANNEE COMMUNE),"",1449
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES JURIDIQUES - BAC+2 A BAC+3,"",1449
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",ALLEMAND,1442
2012-13,GEOGRAPHIE,"",1436
2012-13,"DROIT, ECONOMIE, GESTION : DROIT DE L'ENTREPRISE","",1435
2012-13,SCIENCES ET TECHNOLOGIES : INFORMATIQUE,"",1426
2012-13,"PHILOSOPHIE, EPISTEMOLOGIE","",1403
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : MATHEMATIQUES, INFORMATIQUE","",1391
2012-13,ECONOMIE ET GESTION : GESTION ET ECONOMIE D'ENTREPRISE,"",1366
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES EXACTES ET SCIENCES POUR L'INGENIEUR(ANNEE COMMUNE)","",1351
2012-13,CHIMIE,CHIMIE,1345
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE-BIOCHIMIE-TERRE-ENVIRONNEMENT","",1345
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES, TECHNOLOGIES, SANTE","",1342
2012-13,DIPLOMES D'UNIVERSITE EN MEDECINE - BAC A BAC+3,"",1333
2012-13,INGENIEUR DIPLOME DE L'ECOLE CENTRALE DE NANTES,"",1319
2012-13,DIPLOME D'ETAT DE PSYCHOMOTRICIEN,"",1309
2012-13,DIPLOMES D'UNIVERSITE EN LANGUES ET LITTERATURES ETRANGERES - BAC,"",1302
2012-13,INFORMATION-COMMUNICATION,COMMUNICATION DES ORGANISATIONS,1296
2012-13,SCIENCES POLITIQUES,"",1295
2012-13,SCIENCES DE L'INFORMATION ET DE LA COMMUNICATION,"",1295
2012-13,DIPLOMES D'UNIVERSITE EN MEDECINE - BAC+2 A BAC+3,"",1286
2012-13,"DROIT, ECONOMIE, GESTION : SCIENCES ECONOMIQUES","",1272
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE SANTE","",1257
2012-13,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE : ECONOMIE ET GESTION","",1256
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SANTE","",1249
2012-13,"ECONOMIE, GESTION : SCIENCES ECONOMIQUES","",1239
2012-13,INGENIEUR DIPLOME DE L'ECOLE CENTRALE DE LYON,"",1231
2012-13,"ARTS, LETTRES, LANGUES : ARTS DU SPECTACLE ET AUDIOVISUEL","",1223
2012-13,"DIPLOMES INTERNATIONAUX EN FRANCAIS, LANGUE ETRANGERE - BAC+2 A BAC+3","",1200
2012-13,SCIENCES HUMAINES ET SOCIALES : SCIENCES DE L'EDUCATION ET DE LA FORMATION,"",1200
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA MATIERE","",1190
2012-13,PEDIATRIE,-,1188
2012-13,SCIENCES ET TECHNOLOGIES : MATHEMATIQUES,"",1176
2012-13,"ARTS, LETTRES, LANGUES : MUSIQUE ET MUSICOLOGIE","",1172
2012-13,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,EDUCATION ET MOTRICITE,1167
2012-13,SCIENCES HUMAINES ET SOCIALES : HISTOIRE DE L'ART,"",1165
2012-13,"DROIT, ECONOMIE, GESTION : SCIENCE POLITIQUE","",1153
2012-13,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,ACTIVITES PHYSIQUES ADAPTEES ET SANTE,1151
2012-13,"SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L'ENSEIGNEMENT, DE L'EDUCATION ET DE LA FORMATION",PROFESSORAT DES ECOLES,1135
2012-13,"MECANIQUE DES SOLIDES, GENIE MECANIQUE, PRODUCTIQUE, TRANSPORT ET GENIE CIVIL","",1135
2012-13,"SCIENCES HUMAINES ET SOCIALES : EDUCATION, TRAVAIL ET FORMATION","",1134
2012-13,MEDECINE,"",1131
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA VIE ET DE LA TERRE","",1124
2012-13,"ARTS, LETTRES, LANGUES : LANGUES ET CULTURES ETRANGERES",ANGLAIS,1119
2012-13,"INGENIEUR DIPLOME DE L'UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE, SPECIALITE MECANIQUE","",1110
2012-13,"INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DE PHYSIQUE, ELECTRONIQUE, MATERIAUX DE L'INSTITUT POLYTECHNIQUE DE GRENOBLE","",1106
2012-13,DIPLOMES D'UNIVERSITE EN LANGUES ET LITTERATURES ETRANGERES - BAC A BAC+1,"",1105
2012-13,DIPLOMES INTERNATIONAUX EN LANGUES ET LITTERATURES FRANCAISES - BAC+1,"",1102
2012-13,INGENIEUR DIPLOME DE L'ECOLE NATIONALE D'INGENIEURS DE TARBES,"",1092
2012-13,STATISTIQUE ET INFORMATIQUE DECISIONNELLE,"",1084
2012-13,"DROIT, SCIENCES POLITIQUE ET SOCIALES : ADMINISTRATION ECONOMIQUE ET SOCIALE","",1082
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA VIE ET DE LA SANTE","",1081
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA VIE, DE LA TERRE ET DE L'ENVIRONNEMENT","",1079
2012-13,SCIENCES HUMAINES ET SOCIALES : ANTHROPOLOGIE,"",1079
2012-13,"DROIT, ECONOMIE, GESTION : FINANCE","",1076
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : MANAGEMENT POUR LES SCIENCES ET TECHNOLOGIES","",1075
2012-13,SCIENCES DE L'EDUCATION,"",1074
2012-13,MEDECINE D'URGENCE,"",1071
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES",ETUDES ANGLOPHONES,1061
2012-13,GYNECOLOGIE-OBSTETRIQUE,"",1057
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES JURIDIQUES - BAC+3 A BAC+4,"",1054
2012-13,PHARMACIE,"",1053
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES","",1044
2012-13,SCIENCE ET GENIE DES MATERIAUX,"",1044
2012-13,CERTIFICAT DE CAPACITE D'ORTHOPTISTE,"",1041
2012-13,"SCIENCES HUMAINES ET SOCIALES : EDUCATION, TRAVAIL ET FORMATION",EDUCATION ET METIERS DE L'ENSEIGNEMENT DU PREMIER DEGRE,1034
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT","",1029
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",JAPONAIS,1003
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES DE GESTION - BAC+4 A BAC+5,"",992
2012-13,DIPLOMES D'UNIVERSITE EN PHARMACIE - BAC+6 ET PLUS,"",990
2012-13,"ARTS, LETTRES, LANGUES : ARCHEOLOGIE ET HISTOIRE DE L'ART","",987
2012-13,"DROIT, ECONOMIE, GESTION : ADMINISTRATION DES ENTREPRISES","",986
2012-13,"INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON, SPECIALITE GENIE MECANIQUE","",985
2012-13,PHYSIOLOGIE ET BIOLOGIE DES ORGANISMES - POPULATIONS - INTERACTIONS,"",982
2012-13,BIOLOGIE MEDICALE,-,981
2012-13,"INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DE L'ENERGIE, L'EAU ET L'ENVIRONNEMENT DE L'INSTITUT POLYTECHNIQUE DE GRENOBLE","",981
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SANTE PUBLIQUE","",961
2012-13,"ARCHEOLOGIE, ETHNOLOGIE, PREHISTOIRE","",957
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",ITALIEN,952
2012-13,"DROIT, ECONOMIE, GESTION : MARKETING ET VENTE","",944
2012-13,INFORMATION-COMMUNICATION,METIERS DU LIVRE ET DU PATRIMOINE,942
2012-13,"QUALITE, LOGISTIQUE INDUSTRIELLE ET ORGANISATION","",940
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE-BIOCHIMIE","",933
2012-13,DIPLOMES D'UNIVERSITE EN MEDECINE - BAC+3 A BAC+4,"",927
2012-13,SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L'EDUCATION ET DE LA FORMATION,"",926
2012-13,RADIODIAGNOSTIC ET IMAGERIE MEDICALE,"",924
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES BIOMEDICALES","",918
2012-13,INGENIEUR DIPLOME DE L'ECOLE CENTRALE DE LILLE,"",904
2012-13,"ARTS, LETTRES, LANGUES : ETUDES CINEMATOGRAPHIQUES ET AUDIO-VISUELLES","",904
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES DE GESTION - BAC+2 A BAC+3,"",903
2012-13,"LANGUES, CULTURES ET SOCIETES DU MONDE : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",JAPONAIS,886
2012-13,"ARTS, LETTRES, LANGUES : SCIENCES DU LANGAGE",FRANCAIS LANGUE ETRANGERE,886
2012-13,"ARTS, LETTRES, LANGUES : ETUDES CULTURELLES","",881
2012-13,COMMERCE,ACHETEUR,31
2012-13,"QUALITE, LOGISTIQUE INDUSTRIELLE ET ORGANISATION",ORGANISATION ET GESTION DES FLUX,876
2012-13,"SCIENCES HUMAINES ET SOCIALES : SCIENCES POUR LES METIERS DE L'ENSEIGNEMENT, DE L'EDUCATION ET DE LA FORMATION",ENSEIGNEMENT AUPRES DES ENFANTS,876
2012-13,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT ET DE L'EDUCATION,ENSEIGNEMENT DANS LE 1ER DEGRE,874
2012-13,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,MANAGEMENT DU SPORT,868
2012-13,SCIENCES ET TECHNOLOGIE INDUSTRIELLES,"",861
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA VIE, DE LA TERRE ET ENVIRONNEMENT (ANNEE COMMUNE)","",842
2012-13,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE CLINIQUE ET PSYCHOPATHOLOGIE,840
2012-13,"SCIENCES HUMAINES ET SOCIALES : INFORMATION, COMMUNICATION, CULTURE","",831
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : ELECTRONIQUE, ELECTROTECHNIQUE, AUTOMATIQUE","",827
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOCHIMIE","",823
2012-13,SCIENCES ET TECHNOLOGIES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,"",822
2012-13,"ARTS, LETTRES, LANGUES : ETUDES THEATRALES","",822
2012-13,"DIPLOMES INTERNATIONAUX EN PLURI LETTRES, SCIENCES DU LANGAGE, ARTS - BAC+4","",822
2012-13,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,ENTRAINEMENT SPORTIF,819
2012-13,"ARTS, LETTRES, LANGUES : LETTRES",LETTRES CLASSIQUES,817
2012-13,"DROIT, ECONOMIE, GESTION : SCIENCE POLITIQUE-DROIT","",808
2012-13,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,"ENFANCE, EDUCATION, ENSEIGNEMENT",793
2012-13,INGENIEUR DIPLOME DE L'ECOLE SUPERIEURE DES SCIENCES ET TECHNOLOGIES DE L'INGENIEUR DE NANCY DE L'UNIVERSITE DE LORRAINE,"",792
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES JURIDIQUES - BAC+3 A BAC+5,"",784
2012-13,"ARTS, LETTRES, LANGUES : LANGUES ET CULTURES ETRANGERES ET REGIONALES",ANGLAIS,784
2012-13,"DROIT, ECONOMIE, GESTION : DROIT PRIVE, SCIENCES CRIMINELLES ET CARRIERES JUDICIAIRES","",778
2012-13,"DIPLOMES D'UNIVERSITE EN FRANCAIS, LANGUE ETRANGERE - BAC+3","",763
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES SANITAIRES ET SOCIALES","",763
2012-13,GENIE BIOLOGIQUE,AGRONOMIE,760
2012-13,INGENIEUR DIPLOME DE L'ECOLE CENTRALE DE MARSEILLE,"",756
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : MATH, INFORMATIQUE, SC DE LA MATIERE ET INGENIERIE (ANNEE COMMUNE)","",755
2012-13,DIPLOMES D'UNIVERSITE EN LANGUES ET LITTERATURES ETRANGERES - BAC A BAC+3,"",755
2012-13,QUALIFICATION MEDECINE GENERALE,"",753
2012-13,INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DE MECANIQUE ET DES MICROTECHNIQUES,"",750
2012-13,INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE D'INFORMATIQUE ET DE MATHEMATIQUES APPLIQUEES DE L'INSTITUT POLYTECHNIQUE DE GRENOBLE,"",747
2012-13,ARTS : ARTS DU SPECTACLE - CINEMA,"",745
2012-13,SCIENCES ET TECHNOLOGIES : PHYSIQUE - CHIMIE,"",745
2012-13,LETTRES ET LANGUES : LANGUES ETRANGERES APPLIQUEES,"",743
2012-13,ARTS : ARTS PLASTIQUES,"",738
2012-13,"ARTS, LETTRES, LANGUES : HUMANITES","",727
2012-13,INGENIEUR DIPLOME DE L'ECOLE NATIONALE D'INGENIEURS DE METZ DE L'UNIVERSITE DE LORRAINE,"",726
2012-13,DIPLOMES D'UNIVERSITE EN MEDECINE - BAC A BAC+1,"",723
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES",ENTRAINEMENT SPORTIF,714
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES DE L'EDUCATION - BAC+5,"",714
