annee_universitaire,departement,degre_etudes,total_inscrits
2012-13,C?te-d'Or,BAC + 2,4446
2012-13,Loire-Atlantique,BAC + 6 et plus,4404
2012-13,Val-de-Marne,BAC + 4,4367
2012-13,Maine-et-Loire,BAC + 3,4261
2012-13,Somme,BAC + 2,4241
2012-13,Haute-Vienne,BAC + 1,4236
2012-13,Calvados,BAC + 3,4196
2012-13,Calvados,BAC + 2,4155
2012-13,Seine-Maritime,BAC + 4,4153
2012-13,Alpes-Maritimes,BAC + 2,4074
2012-13,Indre-et-Loire,BAC + 2,4033
2012-13,Vienne,BAC + 5,3998
2012-13,Marne,BAC + 2,3952
2012-13,Vienne,BAC + 3,3936
2012-13,Seine-Maritime,BAC + 5,3872
2012-13,Pyr?n?es-Atlantiques,BAC + 1,3869
2012-13,Savoie,BAC + 1,3848
2012-13,Indre-et-Loire,BAC + 3,3847
2012-13,Marne,BAC + 3,3836
2012-13,Alpes-Maritimes,BAC + 3,3824
2012-13,Vienne,BAC + 4,3804
2012-13,C?te-d'Or,BAC + 4,3662
2012-13,Alpes-Maritimes,BAC + 4,3657
2012-13,Seine-Maritime,BAC + 6 et plus,3651
2012-13,Doubs,BAC + 3,3613
2012-13,Doubs,BAC + 2,3581
2012-13,Pas-de-Calais,BAC + 1,3575
2012-13,Somme,BAC + 3,3548
2012-13,Seine-Saint-Denis,BAC + 6 et plus,3546
2012-13,Calvados,BAC + 5,3538
2012-13,Indre-et-Loire,BAC + 4,3483
2012-13,Vienne,BAC + 2,3469
2012-13,Loire,BAC + 3,3416
2012-13,Sarthe,BAC + 1,3375
2012-13,C?te-d'Or,BAC + 5,3367
2012-13,Val-d'Oise,BAC + 3,3322
2012-13,Finist?re,BAC + 3,3316
2012-13,C?te-d'Or,BAC + 6 et plus,3278
2012-13,Calvados,BAC + 4,3248
2012-13,Haute-Vienne,BAC + 3,3227
2012-13,Maine-et-Loire,BAC + 4,3194
2012-13,Vienne,BAC + 6 et plus,3151
2012-13,Loire,BAC + 2,3064
2012-13,Var,BAC + 1,3032
2012-13,Seine-et-Marne,BAC + 3,3024
2012-13,Maine-et-Loire,BAC + 2,3018
2012-13,Alpes-Maritimes,BAC + 5,2985
2012-13,Finist?re,BAC + 2,2936
2012-13,Savoie,BAC + 3,2911
2012-13,Doubs,BAC + 4,2884
2012-13,Alpes-Maritimes,BAC + 6 et plus,2865
2012-13,Yvelines,BAC + 3,2790
2012-13,Vaucluse,BAC + 1,2781
2012-13,Loiret,BAC + 2,2713
2012-13,Indre-et-Loire,BAC + 5,2710
2012-13,Loiret,BAC + 3,2692
2012-13,Indre-et-Loire,BAC + 6 et plus,2683
2012-13,Puy-de-D?me,BAC + 6 et plus,2657
2012-13,Doubs,BAC + 5,2575
2012-13,Yvelines,BAC + 4,2563
2012-13,Val-d'Oise,BAC + 4,2560
2012-13,Pyr?n?es-Orientales,BAC + 1,2527
2012-13,Savoie,BAC + 2,2526
2012-13,Maine-et-Loire,BAC + 5,2519
2012-13,Seine-et-Marne,BAC + 1,2518
2012-13,Calvados,BAC + 6 et plus,2515
2012-13,Somme,BAC + 6 et plus,2515
2012-13,Doubs,BAC + 6 et plus,2495
2012-13,Yvelines,BAC + 2,2466
2012-13,Marne,BAC + 4,2447
2012-13,Haute-Vienne,BAC + 2,2431
2012-13,Val-d'Oise,BAC + 2,2430
2012-13,Val-d'Oise,BAC + 5,2429
2012-13,Yvelines,BAC + 5,2417
